公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
300117,嘉寓股份,北京嘉寓门窗幕墙股份有限公司,"Beijing JIAYU Door,Window and Curtain Wall Joint-Stock Co.,Ltd.",北京市顺义区牛栏山镇牛富路1号,300117,嘉寓股份,2010/9/2,"325,800,000","325,800,000",,,,0,0,华北,北京,北京市,E 建筑业,www.jiayu.com.cn
300118,东方日升,东方日升新能源股份有限公司,"RISEN ENERNY CO.,LTD",浙江省宁波市宁海县梅林街道塔山工业园区,300118,东方日升,2010/9/2,"560,000,000","379,829,360",,,,0,0,华东,浙江,宁波市,C 制造业,www.risenenergy.com
300119,瑞普生物,天津瑞普生物技术股份有限公司,"Tianjin Ringpu Bio-Technology Co.,Ltd.",天津市空港经济区环河北路与中心大道交口空港商务园西区2-1-201,300119,瑞普生物,2010/9/17,"389,146,281","203,091,722",,,,0,0,华北,天津,天津市,C 制造业,www.ringpu.com
300120,经纬电材,天津经纬电材股份有限公司,"Tianjin Jingwei Electric Wire Co.,Ltd",天津市津南经济开发区(双港)旺港路12号,300120,经纬电材,2010/9/17,"205,899,997","149,146,741",,,,0,0,华北,天津,天津市,C 制造业,www.jwdc.cn
300121,阳谷华泰,山东阳谷华泰化工股份有限公司,"Shandong Yanggu Huatai Chemical Co., Ltd.",山东省阳谷县清河西路217号,300121,阳谷华泰,2010/9/17,"280,800,000","158,444,476",,,,0,0,华东,山东,聊城市,C 制造业,www.yghuatai.com
300122,智飞生物,重庆智飞生物制品股份有限公司,"Chongqing Zhifei Biological Products Co.,Ltd.",重庆市江北区金源路七号25层,300122,智飞生物,2010/9/28,"800,000,000","321,451,250",,,,0,0,西南,重庆,重庆市,C 制造业,www.zhifeishengwu.com
300123,太阳鸟,太阳鸟游艇股份有限公司,Sunbird Yacht Company Limited,湖南省沅江市石矶湖大堤路18号,300123,太阳鸟,2010/9/28,"288,897,318","257,491,318",,,,0,0,华中,湖南,益阳市,C 制造业,www.cnsunbird.com
300124,汇川技术,深圳市汇川技术股份有限公司,"Shenzhen Inovance Technology Co., Ltd",广东省深圳市宝安区新安街道留仙二路鸿威工业园E栋厂房1、2、3、4、5楼,300124,汇川技术,2010/9/28,"781,710,825","609,491,365",,,,0,0,华南,广东,深圳市,C 制造业,www.inovance.cn
300125,易世达,大连易世达新能源发展股份有限公司,"Dalian East New Energy Development CO.,Ltd.",辽宁省大连高新园区火炬路32号B座16-20层,300125,易世达,2010/10/13,"118,000,000","72,662,367",,,,0,0,东北,辽宁,大连市,M 科研服务,www.dleast.cc
300126,锐奇股份,上海锐奇工具股份有限公司,"SHANGHAI KEN TOOLS CO.,LTD.",上海市松江区新桥镇新茸路5号,300126,锐奇股份,2010/10/13,"303,120,000","189,815,904",,,,0,0,华东,上海,上海市,C 制造业,www.kenpowertools.com
300127,银河磁体,成都银河磁体股份有限公司,"Chengdu Galaxy Magnets Co.,LTD.",四川省成都市高新技术开发区西区百草路6号,300127,银河磁体,2010/10/13,"323,146,360","221,864,890",,,,0,0,西南,四川,成都市,C 制造业,www.galaxymagnets.com
300128,锦富新材,苏州锦富新材料股份有限公司,"SuZhou JinFu New Material Co.,Ltd",江苏省苏州工业园区江浦路39号,300128,锦富新材,2010/10/13,"408,554,000","403,568,000",,,,0,0,华东,江苏,苏州市,C 制造业,www.jin-fu.cn
300129,泰胜风能,上海泰胜风能装备股份有限公司,"Shanghai Taisheng Wind Power Equipment Co., Ltd.",上海市金山区卫清东路1988号,300129,泰胜风能,2010/10/19,"324,000,000","219,533,754",,,,0,0,华东,上海,上海市,C 制造业,www.shtsp.com
300130,新国都,深圳市新国都技术股份有限公司,"Shenzhen Xinguodu Technology Co.,Ltd.",广东省深圳市福田区深南路车公庙工业区泰然劲松大厦17A,300130,新国都,2010/10/19,"114,300,000","64,181,250",,,,0,0,华南,广东,深圳市,C 制造业,www.xinguodu.com
300131,英唐智控,深圳市英唐智能控制股份有限公司,"ShenZhen Yitoa Intelligent Control Co.,Ltd.",广东省深圳市南山区高新技术产业园科技南五路英唐大厦五楼,300131,英唐智控,2010/10/19,"203,723,519","122,679,474",,,,0,0,华南,广东,深圳市,C 制造业,www.yitoa.com
300132,青松股份,福建青松股份有限公司,"Fujian Green Pine Co.,LTD",福建省建阳市回瑶工业园区,300132,青松股份,2010/10/26,"192,960,000","118,004,896",,,,0,0,华东,福建,南平市,C 制造业,www.greenpine.cc
300133,华策影视,浙江华策影视股份有限公司,"Zhejiang Huace Film & TV Co.,Ltd.",浙江省杭州市文二西路683号西溪创意产业园C-C座,300133,华策影视,2010/10/26,"646,848,318","427,902,175",,,,0,0,华东,浙江,杭州市,R 文化传播,www.huacemedia.com
300134,大富科技,深圳市大富科技股份有限公司,"Shenzhen Tatfook Technology Co.,Ltd",广东省深圳市宝安区沙井街道蚝乡第三工业区A1、A2、A3的101、A4的第一、二、三层,300134,大富科技,2010/10/26,"320,000,000","293,000,000",,,,0,0,华南,广东,深圳市,C 制造业,www.tatfook.com
300135,宝利沥青,江苏宝利沥青股份有限公司,"Jiangsu Baoli Asphalt co.,Ltd",江苏省江阴市云亭镇工业园区,300135,宝利沥青,2010/10/26,"512,000,000","363,583,056",,,,0,0,华东,江苏,无锡市,C 制造业,www.baolijt.cn
300136,信维通信,深圳市信维通信股份有限公司,"Shenzhen Sunway Communication Co., Ltd.",广东省深圳市宝安区沙井街道西环路1013号A，B栋,300136,信维通信,2010/11/5,"272,259,000","197,780,922",,,,0,0,华南,广东,深圳市,C 制造业,www.sz-sunway.com.cn
300137,先河环保,河北先河环保科技股份有限公司,"Hebei Sailhero Environmental Protection High-tech Co., ltd.",河北省石家庄市高新技术开发区湘江道251号,300137,先河环保,2010/11/5,"324,480,000","263,781,557",,,,0,0,华北,河北,石家庄市,C 制造业,www.sailhero.com.cn
300138,晨光生物,晨光生物科技集团股份有限公司,"CHENGUANG BIOTECH GROUP CO.,LTD",河北省曲周县城晨光路1号,300138,晨光生物,2010/11/5,"179,570,872","127,963,430",,,,0,0,华北,河北,邯郸市,C 制造业,www.cn-cg.com
300139,福星晓程,北京福星晓程电子科技股份有限公司,"Beijing Fuxing Xiaocheng Electronic Technology Stock Co., Ltd",北京市海淀区西三环北路87号国际财经中心D座503,300139,福星晓程,2010/11/12,"109,600,000","84,544,225",,,,0,0,华北,北京,北京市,C 制造业,www.xiaocheng.com
